"Informazioni cronologiche","Quanti anni hai?","Sesso?","Hai mai svolto la professione di Personal Trainer/istruttore in una palestra oppure online?","Fornisci i programmi di allenamento ai clienti che segui? Se sì, come li fornisci?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Segui i progressi prestazionali dei tuoi clienti? Se sì, come li registri?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Cosa miglioreresti?","Effettui le comunicazioni di servizio riguardanti la palestra ai tuoi clienti? Se sì, come?","Sei hai risposto sì alla domanda precedente, quanto sei soddisfatto di questo metodo?","Dai consigli ai tuoi clienti riguardo l'alimentazione da seguire?","Ti sei mai allenato in palestra?","Con che frequenza ti alleni?","In che modo organizzi il tuo allenamento?","Per quale motivo vai in palestra?","Su che supporto segui il tuo programma di allenamento?","In riferimento alla domanda precedente, quanto sei soddisfatto di questo mezzo?","Perché?","L'istruttore ti ha mai dato consigli riguardo l'alimentazione da seguire?","Porti il tuo smartphone in palestra?","Se porti il tuo smartphone in palestra, quanto pensi sia utile ai fini dell'allenamento?","Nella tua palestra riesci a connetterti ad internet?","Hai mai avuto bisogno che qualcuno ti spiegasse come usare uno specifico attrezzo in palestra? Se sì, a chi hai chiesto?","Registri i tuoi progressi prestazionali? Se sì, in che modo?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?","Hai mai sentito la necessità di registrare/vedere i tuoi progressi prestazionali?","In che modo vorresti visualizzare i tuoi progressi?","In che modo ricevi comunicazioni riguardanti la palestra?","Sei hai risposto sì alla domanda precedente, sei soddisfatto di questo mezzo?","Perché?"
"2019/11/07 4:32:27 PM CET","20 anni o meno","Preferisco non specificare","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Seguo un corso offerto dalla palestra","L'istruttore mi segue esercizio per esercizio","6","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","4","","","","Tramite messaggio per telefono","5",""
"2019/11/07 4:35:05 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","A memoria","6","","No","Sì, ma lo lascio in borsa","1","No","Sì, all'istruttore","No, non li registro","7","","No","","A voce dall'istruttore","6",""
"2019/11/07 4:38:17 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","2","","No","Sì, ma lo lascio in borsa","","No","Sì, ad amici","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/07 4:38:59 PM CET","Tra i 41 e i 50 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","5","Dopo qualche giorno l'ho già memorizzata","Sì","No, lo lascio a casa","","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 4:40:11 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 4:42:38 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","3","Sì","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","2",""
"2019/11/07 4:49:53 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 4:52:42 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 4:57:00 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia forza;Seguo un corso offerto dalla palestra;Per svago","L'istruttore mi segue esercizio per esercizio","6","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","A voce dall'istruttore","5",""
"2019/11/07 5:05:05 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 5:05:21 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 5:05:40 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per svago","","","","","Sì, ma lo lascio in borsa","","Non lo so","Sì, ad altri clienti della palestra","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 5:06:10 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 5:08:55 PM CET","Tra i 41 e i 50 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","A memoria","7","","No","Sì, ma lo lascio in borsa","1","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Tramite un Social Network (ad esempio Facebook)","6",""
"2019/11/07 5:20:38 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 5:25:51 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Seguo un corso offerto dalla palestra","","","","","Sì, lo porto con me durante gli esercizi","3","Sì","No, Non ne ho mai avuto bisogno","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 5:26:49 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/07 5:28:33 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Per incrementare la mia forza","Su una scheda cartacea","6","Perché è sufficiente a svolgere quello che devo fare. Non mi serve nulla di più","No","Sì, ma lo lascio in borsa","1","Non lo so","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/07 5:30:24 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","7","Perché si è sicuri di eseguire gli esercizi correttamente","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","4","","No","","Tramite messaggio per telefono","6","Perche' si ha un rapporto diretto"
"2019/11/07 5:45:11 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","3","","Sì","Sì, ma lo lascio in borsa","5","Sì","Sì, all'istruttore","No, non li registro","2","","Sì","","Leggendo gli avvisi esposti in palestra","2",""
"2019/11/07 6:00:16 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","7","","No","Sì, ma lo lascio in borsa","1","Non lo so","Sì, all'istruttore","Sì, uso una applicazione per smartphone","7","","","","A voce dall'istruttore","7",""
"2019/11/07 6:13:06 PM CET","Tra i 51 e i 60 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","7","Xke semplice e sul foglio posso riportare appunti o note ","Sì","Sì, lo porto con me durante gli esercizi","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","A voce dall'istruttore","5","Funziona "
"2019/11/07 6:13:10 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Per svago","Su una scheda cartacea","7","È comodo","No","Sì, lo porto con me durante gli esercizi","2","Sì","Sì, all'istruttore","Sì, uso una applicazione per smartphone","4","","","","Leggendo gli avvisi esposti in palestra","5",""
"2019/11/07 6:28:15 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","3","No","Sì, ad amici","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/07 7:03:13 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare","Su una scheda cartacea","7","Comodo","Sì","Sì, lo porto con me durante gli esercizi","1","Sì","Sì, ad altri clienti della palestra","No, non li registro","","","No","","A voce dall'istruttore","7",""
"2019/11/07 8:08:18 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","5","","Sì","Sì, ma lo lascio in borsa","1","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","5",""
"2019/11/07 8:28:10 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Per incrementare la mia forza;Per svago","Sullo smartphone","6","","Sì","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","Sì, Il mio personal trainer li registra per me","4","","","","Messaggio WhatsApp","7",""
"2019/11/07 8:34:32 PM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","7","Era tutto molto chiaro","No","Sì, lo porto con me durante gli esercizi","7","Sì","Sì, all'istruttore","No, non li registro","","","Sì","Ora uso samsung healt","Tramite un Social Network (ad esempio Facebook)","6","Mi aiutava a comprendere meglio le offerte"
"2019/11/07 9:09:16 PM CET","Tra i 51 e i 60 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, ma lo lascio in borsa","2","Non lo so","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","5",""
"2019/11/07 9:12:36 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra;Postura, salute e benessere","Principalmente scheda, ogni tanto tengo una sessione o due con il personal trainer per aggiornare o rivedere l'allenamento","5","Se potessi dedicare più tempo agli allenamenti e studiare una dieta da abbinarci darei 7","No","Si, solitamente lo lascio nell'armadietto in spogliatoio, tranne quando mi alleno col personal trainer che lo usa per filmare gli esercizi che faccio, questo per mostrarmi cosa vada bene e cosa no","6","Sì","Di solito è l'istruttore ad assegnarmi nuove macchine e, di conseguenza, mi insegna ad usarle","Non direttamente, i progressi li vedo dal progresso negli esercizi, dal cambiamento nella forma fisica e nella postura","","","","","Non ricevo comunicazioni","",""
"2019/11/07 9:42:41 PM CET","Tra i 51 e i 60 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","7","","Sì","Sì, ma lo lascio in borsa","","Sì","Sì, all'istruttore","Sì, uso un programma per computer","7","","","","Leggendo gli avvisi esposti in palestra","6",""
"2019/11/08 12:01:30 AM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","6","","No","Sì, ma lo lascio in borsa","1","Sì","Sì, all'istruttore","No, non li registro","","","No","","Tramite messaggio per telefono","6",""
"2019/11/08 12:15:20 AM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 7:15:31 AM CET","Tra i 51 e i 60 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","7","Sintetico e veloce ","No","Sì, ma lo lascio in borsa","1","Sì","Non uso attrezzi ","No, non li registro","","","No","","A voce dall'istruttore","",""
"2019/11/08 8:31:12 AM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","L'istruttore mi segue esercizio per esercizio","5","","No","Sì, ma lo lascio in borsa","4","Non lo so","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/08 8:41:03 AM CET","20 anni o meno","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 8:58:17 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 9:42:58 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, ma lo lascio in borsa","","Sì","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","",""
"2019/11/08 9:58:36 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Uso una app per smartphone che mi fornisce un programma di allenamento","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","No, non li registro","","","No","","Newsletter","4","Controllando le mail ogni mattina risulta comodo ricevere aggiornamenti tramite newsletter. "
"2019/11/08 12:24:34 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 12:25:15 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia massa muscolare","Su una scheda cartacea","7","","Sì","Sì, lo porto con me durante gli esercizi","4","Non lo so","Sì, all'istruttore","Sì, uso un supporto cartaceo","5","","","","A voce dall'istruttore","5",""
"2019/11/08 12:25:40 PM CET","Tra i 21 e i 30 anni","Femmina","Si, entrambi","Si, fornisco delle schede di allenamento cartacee","7","","Usando un supporto fisico (ad esempio su fogli di carta)","6","","Si, tramite un social network (come Facebook)","5","Sì","","","","","","","","","","","","","","","","","","","",""
"2019/11/08 12:26:22 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 12:26:31 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia forza","","","","","Sì, lo porto con me durante gli esercizi","5","Non lo so","Sì, all'istruttore","Sì, uso un programma per computer","4","","","","Non ricevo comunicazioni","",""
"2019/11/08 12:29:56 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Lo porto per ascoltare musica ","1","Sì","Ho fatto per molto tempo nuoto agonistico e palestra integrata per migliorare la performance,gli esercizi me li hanno insegnati i preparatori atletici ","Sì, uso un supporto cartaceo","7","Perché lo lascio in palestra (nella mia home gym) e ad ogni allenamento cerco di fare meglio di quello prima ","","","Avendo una home gym non ho informazioni da ricevere ","",""
"2019/11/08 12:38:30 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Come integrazione ad un'altra attività sportiva esterna alla palestra;Sto studiando Scienze Motorie ","","","","","Esclusivamente per la musica di solito","4","Sì","Cerco di gestirmi, approfondisco su internet, sulle conoscenze universitarie o al massimo con l'istruttore di sala","Mediamente no, ma per il semplice fatto che non preparando nessuna competizione non cerco di rientrare in uno standard, inoltre sono in una fase riabilitativa al momento, quindi cerco fondamentalmente di raggiungere la mia condizione ottimale, ma ho intenzione di prendermene nota su un supporto cartaceo per poi registrarlo in un PC ","","","","","Avvisi in palestre, mail(prettamente pagamenti)","3",""
"2019/11/08 12:40:48 PM CET","Oltre i 61 anni","Maschio","Si, entrambi","Si, fornisco delle schede di allenamento cartacee","7","Integrare con programma interattivi su USB o smartphone o altro strumento di feedback.","Il cartaceo è indispensabile a causa dell'eterogeneità delle classi allenate: un anziano deve leggere i risultati su carta altrimenti non li assimila motivazionalmente...","7","Il linguaggio...","Si, a voce","6","Sì","","","","","","","","","","","","","","","","","","","",""
"2019/11/08 12:44:23 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare;Per incrementare la mia forza","","","","","Sì, lo utilizzo come cronometro principalmente ","6","Sì","Sì, all'istruttore","Sì, uso un programma per computer","7","Perché mi permette di monitorare i vari carichi, per vedere eventuali incrementi","","","Leggendo gli avvisi esposti in palestra","7","Il fatto di leggerli anche più volte, passandoci davanti, permette di assimilare meglio"
"2019/11/08 1:24:26 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 1:30:45 PM CET","Tra i 51 e i 60 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Non mi alleno più ","Non mi alleno più ","","","","","No, lo lascio a casa","1","Non lo so","Sì, all'istruttore","No, non li registro","4","","Sì","Con l'orologio ","Non ricevo comunicazioni","",""
"2019/11/08 1:48:19 PM CET","20 anni o meno","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Come integrazione ad un'altra attività sportiva esterna alla palestra","L'istruttore mi segue esercizio per esercizio","6","","No","Sì, ma lo lascio in borsa","4","Sì","Sì, all'istruttore","No, non li registro","","","No","","A voce dall'istruttore, tramite messaggio per telefono, leggendo avvisi esposti in palestra ","7",""
"2019/11/08 1:56:49 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per svago","Su una scheda cartacea","2","Scomodo portare la scheda in giro per la palestra","No","Sì, ma lo lascio in borsa","5","Non lo so","Sì, all'istruttore","No, non li registro","","","Sì","Tramite foto ","Non ricevo comunicazioni","",""
"2019/11/08 3:15:20 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per incrementare la mia massa muscolare","Sullo smartphone","7","","Sì","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","Sì, uso un programma per computer","7","","","","Leggendo gli avvisi esposti in palestra","4",""
"2019/11/08 3:18:38 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Sì, ma lo lascio in borsa","","Non lo so","Sì, ho cercato su Internet","No, non li registro","","","Sì","Aumentando la massa, aumento anche il peso quindi guardo quello","Tramite un Social Network (ad esempio Facebook)","6","Si perché tramite il telefono accedo in maniera più veloce e più comoda"
"2019/11/08 3:22:09 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per svago","","","","","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, ho cercato su Internet","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","3",""
"2019/11/08 3:24:09 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","No","","","","","","","","","","","","","","","","","","",""
"2019/11/08 3:38:03 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza","","","","","Sì, lo porto con me durante gli esercizi","5","No","No, Non ne ho mai avuto bisogno","Sì, uso un supporto cartaceo","5","","","","Non ricevo comunicazioni","",""
"2019/11/08 3:38:08 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Come integrazione ad un'altra attività sportiva esterna alla palestra","Su una scheda cartacea","4","È scomodo da trovare in mezzo agli altri","No","Sì, ma lo lascio in borsa","","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/08 3:40:42 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","6","No","No, Non ne ho mai avuto bisogno","Sì, uso una applicazione per smartphone","6","Essenziale ma efficace.","","","Tramite messaggio per telefono","2","Si tratta più che altro di pubblicità."
"2019/11/08 3:44:38 PM CET","Tra i 31 e i 40 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, ma lo lascio in borsa","4","Non lo so","No, Non ne ho mai avuto bisogno","No, non li registro","7","","Sì","","Tramite un Social Network (ad esempio Facebook)","4",""
"2019/11/08 3:49:57 PM CET","Tra i 31 e i 40 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica","Su una scheda cartacea","3","La scheda cartacea è scomoda perché c'è il rischio di perderla, sporcarla, bagnarla, rovinarla.. ","Sì","Sì, ma lo lascio in borsa","5","Non lo so","Sì, all'istruttore","No, non li registro","","","Sì","Sicuramente su un supporto tecnologico come fanno altre app di allenamento come Runstatic","Tramite messaggio per telefono","6","Fa sempre comodo ricevere comunicazioni soprattutto di incontri o corsi integrati alla palestra"
"2019/11/08 4:01:22 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Una volta a settimana","Gestisco il mio allenamento autonomamente","Come integrazione ad un'altra attività sportiva esterna alla palestra","","","","","Sì, lo porto con me durante gli esercizi","5","Sì","Sì, ho cercato su Internet","No, non li registro","7","","No","","Non ricevo comunicazioni","7",""
"2019/11/08 4:10:11 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza","","","","","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","No, non li registro","","","Sì","","Tramite messaggio per telefono","5",""
"2019/11/08 4:17:07 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per svago","","","","","Sì, lo porto con me durante gli esercizi","6","Non lo so","Sì, all'istruttore","No, non li registro","","","Sì","Con dei dati percentuali","Non ricevo comunicazioni","",""
"2019/11/08 4:30:02 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per svago","Su una scheda cartacea","5","","No","Sì, lo porto con me durante gli esercizi","4","No","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","",""
"2019/11/08 4:31:24 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza;Per svago","Su una scheda cartacea","4","","No","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","No, non li registro","","","Sì","","Non ricevo comunicazioni","",""
"2019/11/08 5:08:22 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","Gestisco il mio allenamento autonomamente","Per incrementare la mia massa muscolare","","","","","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","Sì, uso un supporto cartaceo","4","","","","Leggendo gli avvisi esposti in palestra","2",""
"2019/11/08 6:32:37 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","7","Sì","Sì, ad amici","Sì, uso una applicazione per smartphone","6","","","","Tramite messaggio per telefono","4",""
"2019/11/08 6:53:17 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, ma lo lascio in borsa","","Sì","Sì, all'istruttore","No, non li registro","","","No","","A voce dall'istruttore","",""
"2019/11/08 9:09:20 PM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per incrementare la mia massa muscolare;Seguo un corso offerto dalla palestra","Su una scheda cartacea","7","","Sì","Sì, ma lo lascio in borsa","1","Non lo so","Sì, all'istruttore","Sì, uso un supporto cartaceo","3","","","","Non ricevo comunicazioni","7",""
"2019/11/08 9:45:18 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Due volte a settimana","Seguo il programma di un allenatore diverso dall'istruttore della palestra","Per mantenere la forma fisica","Sullo smartphone","6","","No","Sì, lo porto con me durante gli esercizi","6","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/08 9:46:16 PM CET","Tra i 21 e i 30 anni","Femmina","No","","","","","","","","","","Sì","Meno di una volta a settimana","Gestisco il mio allenamento autonomamente","Per mantenere la forma fisica","","","","","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","",""
"2019/11/10 5:33:59 PM CET","20 anni o meno","Femmina","No","","","","","","","","","","Sì","Tre o più volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Per incrementare la mia massa muscolare;Per incrementare la mia forza","Su una scheda cartacea","6","","No","Sì, lo porto con me durante gli esercizi","4","Sì","Sì, all'istruttore","No, non li registro","","","No","","Non ricevo comunicazioni","2",""
"2019/11/11 1:18:08 AM CET","Tra i 21 e i 30 anni","Maschio","No","","","","","","","","","","Sì","Due volte a settimana","L'istruttore mi fornisce un programma di allenamento","Per mantenere la forma fisica;Seguo un corso offerto dalla palestra;Per svago","L'istruttore mi segue esercizio per esercizio","7","Devo semplicemente copiarlo a specchio","No","Sì, ma lo lascio in borsa","1","No","Sì, all'istruttore","No, non li registro","","","No","","Leggendo gli avvisi esposti in palestra","5","È semplice, ma se non fai attenzione puoi pendertelo"
